center dash cam image,left dash cam image,right dash cam image,steering angle,throttle,brake,vehicle speed
IMG/center_2020_03_01_05_06_46_455.jpg,IMG/left_2020_03_01_05_06_46_455.jpg,IMG/right_2020_03_01_05_06_46_455.jpg,0,0.3507267,0,0.2800279
IMG/center_2020_03_01_05_06_46_529.jpg,IMG/left_2020_03_01_05_06_46_529.jpg,IMG/right_2020_03_01_05_06_46_529.jpg,0,0.5325058,0,0.5875115
IMG/center_2020_03_01_05_06_46_596.jpg,IMG/left_2020_03_01_05_06_46_596.jpg,IMG/right_2020_03_01_05_06_46_596.jpg,0,0.772101,0,1.24537
IMG/center_2020_03_01_05_06_46_667.jpg,IMG/left_2020_03_01_05_06_46_667.jpg,IMG/right_2020_03_01_05_06_46_667.jpg,0,0.9561388,0,1.864413
IMG/center_2020_03_01_05_06_46_736.jpg,IMG/left_2020_03_01_05_06_46_736.jpg,IMG/right_2020_03_01_05_06_46_736.jpg,0,1,0,2.817846
IMG/center_2020_03_01_05_06_46_804.jpg,IMG/left_2020_03_01_05_06_46_804.jpg,IMG/right_2020_03_01_05_06_46_804.jpg,0,1,0,3.518578
IMG/center_2020_03_01_05_06_46_874.jpg,IMG/left_2020_03_01_05_06_46_874.jpg,IMG/right_2020_03_01_05_06_46_874.jpg,0,1,0,4.45793
IMG/center_2020_03_01_05_06_46_946.jpg,IMG/left_2020_03_01_05_06_46_946.jpg,IMG/right_2020_03_01_05_06_46_946.jpg,0,1,0,5.155971
IMG/center_2020_03_01_05_06_47_019.jpg,IMG/left_2020_03_01_05_06_47_019.jpg,IMG/right_2020_03_01_05_06_47_019.jpg,0,1,0,6.080583
IMG/center_2020_03_01_05_06_47_088.jpg,IMG/left_2020_03_01_05_06_47_088.jpg,IMG/right_2020_03_01_05_06_47_088.jpg,0,1,0,6.7692
IMG/center_2020_03_01_05_06_47_160.jpg,IMG/left_2020_03_01_05_06_47_160.jpg,IMG/right_2020_03_01_05_06_47_160.jpg,0,1,0,7.681294
IMG/center_2020_03_01_05_06_47_231.jpg,IMG/left_2020_03_01_05_06_47_231.jpg,IMG/right_2020_03_01_05_06_47_231.jpg,0,1,0,8.360492
IMG/center_2020_03_01_05_06_47_303.jpg,IMG/left_2020_03_01_05_06_47_303.jpg,IMG/right_2020_03_01_05_06_47_303.jpg,0,1,0,9.260119
IMG/center_2020_03_01_05_06_47_375.jpg,IMG/left_2020_03_01_05_06_47_375.jpg,IMG/right_2020_03_01_05_06_47_375.jpg,0,1,0,10.15275
IMG/center_2020_03_01_05_06_47_446.jpg,IMG/left_2020_03_01_05_06_47_446.jpg,IMG/right_2020_03_01_05_06_47_446.jpg,0,1,0,10.81765
IMG/center_2020_03_01_05_06_47_514.jpg,IMG/left_2020_03_01_05_06_47_514.jpg,IMG/right_2020_03_01_05_06_47_514.jpg,0,0.9757632,0,11.53218
IMG/center_2020_03_01_05_06_47_585.jpg,IMG/left_2020_03_01_05_06_47_585.jpg,IMG/right_2020_03_01_05_06_47_585.jpg,0,0.7925501,0,12.29645
IMG/center_2020_03_01_05_06_47_655.jpg,IMG/left_2020_03_01_05_06_47_655.jpg,IMG/right_2020_03_01_05_06_47_655.jpg,0,0.5538253,0,12.82902
IMG/center_2020_03_01_05_06_47_724.jpg,IMG/left_2020_03_01_05_06_47_724.jpg,IMG/right_2020_03_01_05_06_47_724.jpg,0,0.3777972,0,12.96578
IMG/center_2020_03_01_05_06_47_792.jpg,IMG/left_2020_03_01_05_06_47_792.jpg,IMG/right_2020_03_01_05_06_47_792.jpg,0,0.1983281,0,13.32024
IMG/center_2020_03_01_05_06_47_862.jpg,IMG/left_2020_03_01_05_06_47_862.jpg,IMG/right_2020_03_01_05_06_47_862.jpg,0,0,0,13.37861
IMG/center_2020_03_01_05_06_47_929.jpg,IMG/left_2020_03_01_05_06_47_929.jpg,IMG/right_2020_03_01_05_06_47_929.jpg,0,0,0,12.73724
IMG/center_2020_03_01_05_06_48_001.jpg,IMG/left_2020_03_01_05_06_48_001.jpg,IMG/right_2020_03_01_05_06_48_001.jpg,0,0,0,12.65522
IMG/center_2020_03_01_05_06_48_072.jpg,IMG/left_2020_03_01_05_06_48_072.jpg,IMG/right_2020_03_01_05_06_48_072.jpg,0,0,0,13.0992
IMG/center_2020_03_01_05_06_48_143.jpg,IMG/left_2020_03_01_05_06_48_143.jpg,IMG/right_2020_03_01_05_06_48_143.jpg,0,0,0,12.96784
IMG/center_2020_03_01_05_06_48_216.jpg,IMG/left_2020_03_01_05_06_48_216.jpg,IMG/right_2020_03_01_05_06_48_216.jpg,0,0.0606029,0,12.87896
IMG/center_2020_03_01_05_06_48_287.jpg,IMG/left_2020_03_01_05_06_48_287.jpg,IMG/right_2020_03_01_05_06_48_287.jpg,0,0.2565361,0,12.41716
IMG/center_2020_03_01_05_06_48_357.jpg,IMG/left_2020_03_01_05_06_48_357.jpg,IMG/right_2020_03_01_05_06_48_357.jpg,0,0.482091,0,12.86564
IMG/center_2020_03_01_05_06_48_428.jpg,IMG/left_2020_03_01_05_06_48_428.jpg,IMG/right_2020_03_01_05_06_48_428.jpg,0,0.4028342,0,13.17608
IMG/center_2020_03_01_05_06_48_496.jpg,IMG/left_2020_03_01_05_06_48_496.jpg,IMG/right_2020_03_01_05_06_48_496.jpg,0,0.1568849,0,13.27458
IMG/center_2020_03_01_05_06_48_566.jpg,IMG/left_2020_03_01_05_06_48_566.jpg,IMG/right_2020_03_01_05_06_48_566.jpg,0,0,0,13.34439
IMG/center_2020_03_01_05_06_48_637.jpg,IMG/left_2020_03_01_05_06_48_637.jpg,IMG/right_2020_03_01_05_06_48_637.jpg,0,0,0,13.22781
IMG/center_2020_03_01_05_06_48_703.jpg,IMG/left_2020_03_01_05_06_48_703.jpg,IMG/right_2020_03_01_05_06_48_703.jpg,0,0,0,13.18067
IMG/center_2020_03_01_05_06_48_771.jpg,IMG/left_2020_03_01_05_06_48_771.jpg,IMG/right_2020_03_01_05_06_48_771.jpg,0,0,0,13.02664
IMG/center_2020_03_01_05_06_48_840.jpg,IMG/left_2020_03_01_05_06_48_840.jpg,IMG/right_2020_03_01_05_06_48_840.jpg,0,0.08778298,0,12.92496
IMG/center_2020_03_01_05_06_48_908.jpg,IMG/left_2020_03_01_05_06_48_908.jpg,IMG/right_2020_03_01_05_06_48_908.jpg,0,0.271368,0,12.95262
IMG/center_2020_03_01_05_06_48_979.jpg,IMG/left_2020_03_01_05_06_48_979.jpg,IMG/right_2020_03_01_05_06_48_979.jpg,0,0.1130973,0,13.09044
IMG/center_2020_03_01_05_06_49_046.jpg,IMG/left_2020_03_01_05_06_49_046.jpg,IMG/right_2020_03_01_05_06_49_046.jpg,0,0,0,13.10342
IMG/center_2020_03_01_05_06_49_115.jpg,IMG/left_2020_03_01_05_06_49_115.jpg,IMG/right_2020_03_01_05_06_49_115.jpg,0,0,0,12.984
IMG/center_2020_03_01_05_06_49_184.jpg,IMG/left_2020_03_01_05_06_49_184.jpg,IMG/right_2020_03_01_05_06_49_184.jpg,0,0.1500303,0,12.94722
IMG/center_2020_03_01_05_06_49_251.jpg,IMG/left_2020_03_01_05_06_49_251.jpg,IMG/right_2020_03_01_05_06_49_251.jpg,0,0.3222063,0,13.04542
